TANGGAL,JUMLAH_TRANSAKSI,TOTAL_PEMBAYARAN,LABEL,TARGET,PREDIKSI,PREDIKSI_LABEL
2025-03-11,16,19768375.0,Ramai,0,0,Ramai
2025-03-12,12,11195075.0,Ramai,0,0,Ramai
2025-03-13,25,38319400.0,Ramai,0,0,Ramai
2025-03-14,15,22542250.0,Ramai,0,0,Ramai
2025-03-15,10,13208125.0,Sepi,1,1,Sepi
2025-03-16,11,12149250.0,Sepi,1,1,Sepi
2025-03-17,19,17530850.0,Ramai,0,0,Ramai
2025-03-18,17,6096675.0,Ramai,0,0,Ramai
2025-03-19,16,20437975.0,Ramai,0,0,Ramai
2025-03-20,10,7257825.0,Sepi,1,1,Sepi
2025-03-27,2,3009175.0,Sepi,1,1,Sepi
2025-03-28,5,1207775.0,Sepi,1,1,Sepi
2025-03-29,4,856950.0,Sepi,1,1,Sepi
2025-03-30,3,3129325.0,Sepi,1,1,Sepi
2025-03-31,2,4882300.0,Sepi,1,1,Sepi
2025-04-02,8,8104300.0,Sepi,1,1,Sepi
2025-04-03,10,5709625.0,Sepi,1,1,Sepi
2025-04-04,13,11532350.0,Ramai,0,0,Ramai
2025-04-05,12,10409850.0,Ramai,0,0,Ramai
2025-04-06,6,4010500.0,Sepi,1,1,Sepi
2025-04-07,19,20785775.0,Ramai,0,0,Ramai
2025-04-08,24,13636575.0,Ramai,0,0,Ramai
2025-04-09,16,9353600.0,Ramai,0,0,Ramai
2025-04-10,17,10058750.0,Ramai,0,0,Ramai
2025-04-11,17,14234225.0,Ramai,0,0,Ramai
2025-04-12,16,21633325.0,Ramai,0,0,Ramai
2025-04-13,9,8178200.0,Sepi,1,1,Sepi
2025-04-14,13,33774250.0,Ramai,0,0,Ramai
2025-05-28,16,11562525.0,Ramai,0,0,Ramai
2025-05-29,6,4794950.0,Sepi,1,1,Sepi
2025-05-30,7,6350125.0,Sepi,1,1,Sepi
2025-05-31,7,8098800.0,Sepi,1,1,Sepi
